sha256,path
434ec9da4d6d306f9973ef0eb8d7b443cadb0ef6fdb51399ebbc2bcbe70308cf,Tools/SixFamilyRecovery/ScreeningExecutionV2/FINAL_SCREENING_EXECUTION_STATUS.md
db0aa8630bd211d9f46863304603235d78ab97edefc0a79cdaa547677a6579f3,Tools/SixFamilyRecovery/ScreeningExecutionV2/Test_MSZZ_ScreeningExecutionPolicyV2.ini
e2b07cc29dd3dcd7c522bf0c3141689273316f2e7c6b9ec234600ca82e7a0980,Tools/SixFamilyRecovery/ScreeningExecutionV2/compile_summary.csv
569c4eec472511f5b8c6987fba4ec8a1007b93e66240e37ffcb119730cf32903,Tools/SixFamilyRecovery/ScreeningExecutionV2/cross_language_parity_fixtures.csv
b91df5c9993e7ba86720f7eb0afef2ee7889e2421795f7f1b1c4e1a3fb3d6ddd,Tools/SixFamilyRecovery/ScreeningExecutionV2/policy_registry.csv
cc172eade25b63cf4c834e7bc76473c94e3bfe50754163a3b192bd2f4d1d3127,Tools/SixFamilyRecovery/ScreeningExecutionV2/screening_execution_v2.py
2fa41cfe0f98c2fde2bb682399b6a4b62c3b2fdf21afd871b2305a14f6656629,Tools/SixFamilyRecovery/ScreeningExecutionV2/test_screening_execution_v2.py
fdb9395147e711a90c5a684422da2ad8dd04039f64e4afb220516d76ffbd4e0b,Tools/SixFamilyRecovery/ScreeningExecutionV2/test_summary.csv
f9f278c06baf4af291d689d74952d58040fa485f1fa79611d3a672ece72e3d28,Include/MultiSpeedZigZag/Research/ScreeningExecutionPolicyV2.mqh
3ddbb7073443b0fbd41c0034a8aa207f27723c0ef4114bed9e82792c5b1f0da9,Tests/MultiSpeedZigZag/Test_MSZZ_ScreeningExecutionPolicyV2.mq5
1c3241e5ff4d94c3b7c20a48d40506c22dd5b60b822cdfeecc32b1c19f0dfb29,Docs/MultiSpeedZigZag/SCREENING_EXECUTION_CONTRACT_V2.md
