"collector_version","cert_run","fixture_group","fixture_id","mql5_result","source_log_sha256"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F01","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F02","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F03","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F04","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F05","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F06","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F07","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F08","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F09","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F10","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F11","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F12","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F13","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F14","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F15","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F16","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F17","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F18","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F19","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F20","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F21","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F22","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F23","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F24","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F25","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F26","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F27","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F28","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F29","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F30","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F31","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F32","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F33","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F34","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F35","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F36","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F37","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
"MSZZ_MQL5_RESULT_COLLECTOR_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F38","PASS","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2"
