MSZZ_SCREENING_JB_INDEX_V2
fixture_id,behavior,journal_filename,invalid_journal,tamper_stage,tamper_field,tamper_value,journal_rows,expected_journal_sha256,expected_projection_sha256,expected_status,expected_outcomes
"JB01","valid verified bundle","cert_jb_JB01_journal.csv","0","NONE","","","1","be0d32db3b99dd2baf669a70346a937386a8f02527a2d1bf2c742f2fcc9c30ea","1c855e63995425d73101888debb03087c02eb372f1d0d9e8ba6a10e0422a1098","RUN_OK","1"
"JB02","entry mutated after verification","cert_jb_JB02_journal.csv","0","POST_BUNDLE_CANDIDATE","MUTATE_ENTRY","","1","be0d32db3b99dd2baf669a70346a937386a8f02527a2d1bf2c742f2fcc9c30ea","1c855e63995425d73101888debb03087c02eb372f1d0d9e8ba6a10e0422a1098","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB03","stop mutated","cert_jb_JB03_journal.csv","0","POST_BUNDLE_CANDIDATE","MUTATE_STOP","","1","be0d32db3b99dd2baf669a70346a937386a8f02527a2d1bf2c742f2fcc9c30ea","1c855e63995425d73101888debb03087c02eb372f1d0d9e8ba6a10e0422a1098","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB04","target mutated","cert_jb_JB04_journal.csv","0","POST_BUNDLE_CANDIDATE","MUTATE_TARGET","","1","be0d32db3b99dd2baf669a70346a937386a8f02527a2d1bf2c742f2fcc9c30ea","1c855e63995425d73101888debb03087c02eb372f1d0d9e8ba6a10e0422a1098","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB05","target_r mutated","cert_jb_JB05_journal.csv","0","POST_BUNDLE_CANDIDATE","MUTATE_TARGET_R","","1","be0d32db3b99dd2baf669a70346a937386a8f02527a2d1bf2c742f2fcc9c30ea","1c855e63995425d73101888debb03087c02eb372f1d0d9e8ba6a10e0422a1098","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB06","signal_time mutated","cert_jb_JB06_journal.csv","0","POST_BUNDLE_CANDIDATE","MUTATE_SIGNAL","","1","be0d32db3b99dd2baf669a70346a937386a8f02527a2d1bf2c742f2fcc9c30ea","1c855e63995425d73101888debb03087c02eb372f1d0d9e8ba6a10e0422a1098","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB07","expiry mutated","cert_jb_JB07_journal.csv","0","POST_BUNDLE_CANDIDATE","MUTATE_EXPIRY","","1","be0d32db3b99dd2baf669a70346a937386a8f02527a2d1bf2c742f2fcc9c30ea","1c855e63995425d73101888debb03087c02eb372f1d0d9e8ba6a10e0422a1098","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB08","event_id mutated","cert_jb_JB08_journal.csv","0","POST_BUNDLE_CANDIDATE","MUTATE_EVENT_ID","","1","be0d32db3b99dd2baf669a70346a937386a8f02527a2d1bf2c742f2fcc9c30ea","1c855e63995425d73101888debb03087c02eb372f1d0d9e8ba6a10e0422a1098","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB09","sequence_id mutated","cert_jb_JB09_journal.csv","0","POST_BUNDLE_CANDIDATE","MUTATE_SEQUENCE_ID","","1","be0d32db3b99dd2baf669a70346a937386a8f02527a2d1bf2c742f2fcc9c30ea","1c855e63995425d73101888debb03087c02eb372f1d0d9e8ba6a10e0422a1098","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB10","candidate added","cert_jb_JB10_journal.csv","0","POST_BUNDLE_CANDIDATE","ADD_CANDIDATE","","1","be0d32db3b99dd2baf669a70346a937386a8f02527a2d1bf2c742f2fcc9c30ea","1c855e63995425d73101888debb03087c02eb372f1d0d9e8ba6a10e0422a1098","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
