"fixture_id","run_status","row_count","outcome_sha256"
"F01","RUN_OK","1","aea1396bed1b871eeca6c94a1d7279cc951b01f191b81448d2839487f9d931a4"
"F02","RUN_OK","1","3b45e973e3de151851410bd7616fa5e7db5ff5ca7d437a151287cb1bb4efc903"
"F03","RUN_OK","1","aea1396bed1b871eeca6c94a1d7279cc951b01f191b81448d2839487f9d931a4"
"F04","RUN_OK","1","a0245db5ade37f52425dd9424bca0e41cd145ce2084d9429e3a63a947bddf276"
"F05","RUN_OK","1","0d6a9662385b94319c85d1412748e3eb86396b5fa6dd482c10b0b4f73ca9413f"
"F06","RUN_OK","1","c17e0ef5b53f2961357c76749aa26a337ef26f58812abdbd0d05951a1586a911"
"F07","RUN_OK","1","1a5eff2440e559db6185a86025cddea9f67a81c621ccd70aaff7b113cc3ef24b"
"F08","TRANSPORT_REJECT","0",""
"F09","TRANSPORT_REJECT","0",""
"F10","RUN_OK","2","e8ca7546feb8f4c880272cb7fd56ada7bcdfc3faceee669373ce020c35e11003"
"F11","RUN_OK","1","79b64609367127a1611f7489e21ff5221cb0586993a39867cb1851cec718d112"
"F12","RUN_OK","1","3b45e973e3de151851410bd7616fa5e7db5ff5ca7d437a151287cb1bb4efc903"
"F13","RUN_OK","1","79b64609367127a1611f7489e21ff5221cb0586993a39867cb1851cec718d112"
"F14","RUN_OK","1","ca17e2f02b89228a42c133cbfe0e7d74d7d3e97a3b66ef6aa229b875dc7a93b6"
"F15","RUN_OK","1","793601c3a18052cc4642a90697a6290ea2d371e11037bea9aa7201dc5b3286a5"
"F16","RUN_OK","1","5f7faf5616b48b64b8eed780c5aba824c4481e9faa7974453858addbc9d259ca"
"F17","RUN_OK","1","5f7faf5616b48b64b8eed780c5aba824c4481e9faa7974453858addbc9d259ca"
"F18","RUN_OK","1","92e79041b7c8da282daf6b1a494e3bcea91cd6d2b4cd97de95accc42ffce5500"
"F19","RUN_OK","1","4cac3a5c75b7c2b2b514a5e7ce78e6711bc0c9ce4edccee8af393a00d35a9355"
"F20","RUN_OK","2","ef7da617f6bcf8650948868e84e7e9a2a6279fd3d007fc2c91dc21f34fa8c48d"
"F21","RUN_OK","2","b14069c1da02fa2710dccfbb45c0419b52152c618c0800ba27d611de36b5302f"
"F22","RUN_OK","2","673d55828b5f38b736a5c11dcc30572605140262c84eadea80b0a6654b288d83"
